,70,65,62,25,75,55,60,30,35,45,20,16,22
795,,17812.0,,,,,,,,,,,
3978,,75495.0,,,,,,,,,,,
5987,,59239.0,,,,,,,,,,,
9232,,1498.0,,,,,,,,,,,
33009,,1498.0,,,,,,,,,,,
33167,,17812.0,,,,,,,,,,,
38982,,1498.0,,,,,,,,,,,
58261,,44389.0,,,,,,,,,,,
72080,,75495.0,,,,,,,,,,,
4167,,,20686.0,,,,,,,,,,
5565,,,14328.0,,,,,,,,,,
62834,,,49596.0,,,,,,,,,,
74625,,,20686.0,,,,,,,,,,
1338,,,,1739.0,,,,,,,,,
4168,,,,7482.0,,,,,,,,,
5490,,,,410.0,,,,,,,,,
7910,,,,410.0,,,,,,,,,
10032,,,,1625.0,,,,,,,,,
13038,,,,14828.0,,,,,,,,,
13556,,,,410.0,,,,,,,,,
16050,,,,8763.0,,,,,,,,,
19631,,,,11324.0,,,,,,,,,
22133,,,,16558.0,,,,,,,,,
22258,,,,1739.0,,,,,,,,,
25614,,,,410.0,,,,,,,,,
26972,,,,11324.0,,,,,,,,,
29707,,,,410.0,,,,,,,,,
33527,,,,1277.0,,,,,,,,,
35530,,,,410.0,,,,,,,,,
36576,,,,62807.0,,,,,,,,,
37288,,,,8763.0,,,,,,,,,
38344,,,,1739.0,,,,,,,,,
39014,,,,1277.0,,,,,,,,,
39880,,,,7482.0,,,,,,,,,
40127,,,,1739.0,,,,,,,,,
40325,,,,8763.0,,,,,,,,,
44356,,,,1739.0,,,,,,,,,
47735,,,,31448.0,,,,,,,,,
48564,,,,410.0,,,,,,,,,
48706,,,,410.0,,,,,,,,,
49640,,,,1625.0,,,,,,,,,
51394,,,,410.0,,,,,,,,,
52520,,,,16598.0,,,,,,,,,
53059,,,,1625.0,,,,,,,,,
53440,,,,1739.0,,,,,,,,,
56181,,,,410.0,,,,,,,,,
60436,,,,410.0,,,,,,,,,
60497,,,,410.0,,,,,,,,,
63271,,,,37173.0,,,,,,,,,
65814,,,,1739.0,,,,,,,,,
67227,,,,1277.0,,,,,,,,,
68905,,,,6731.0,,,,,,,,,
69653,,,,1739.0,,,,,,,,,
71365,,,,1277.0,,,,,,,,,
72092,,,,16598.0,,,,,,,,,
72322,,,,410.0,,,,,,,,,
73973,,,,13608.0,,,,,,,,,
74579,,,,410.0,,,,,,,,,
75434,,,,410.0,,,,,,,,,
76740,,,,13608.0,,,,,,,,,
77035,,,,410.0,,,,,,,,,
77236,,,,1625.0,,,,,,,,,
516,,,,,,290.0,,,,,,,
2824,,,,,,9390.0,,,,,,,
3214,,,,,,11062.0,,,,,,,
4994,,,,,,232.0,,,,,,,
6059,,,,,,10500.0,,,,,,,
6385,,,,,,232.0,,,,,,,
6661,,,,,,67745.0,,,,,,,
8172,,,,,,7431.0,,,,,,,
8393,,,,,,232.0,,,,,,,
10004,,,,,,11062.0,,,,,,,
12175,,,,,,290.0,,,,,,,
13025,,,,,,67745.0,,,,,,,
18001,,,,,,9390.0,,,,,,,
20786,,,,,,29641.0,,,,,,,
21937,,,,,,11062.0,,,,,,,
25341,,,,,,7431.0,,,,,,,
25939,,,,,,21781.0,,,,,,,
26235,,,,,,232.0,,,,,,,
26424,,,,,,9390.0,,,,,,,
26714,,,,,,290.0,,,,,,,
27209,,,,,,14888.0,,,,,,,
28280,,,,,,42815.0,,,,,,,
28335,,,,,,11062.0,,,,,,,
29358,,,,,,32285.0,,,,,,,
29578,,,,,,232.0,,,,,,,
30012,,,,,,63414.0,,,,,,,
30375,,,,,,290.0,,,,,,,
31290,,,,,,290.0,,,,,,,
32224,,,,,,232.0,,,,,,,
32329,,,,,,7431.0,,,,,,,
34200,,,,,,67745.0,,,,,,,
35716,,,,,,14240.0,,,,,,,
36078,,,,,,232.0,,,,,,,
37628,,,,,,9390.0,,,,,,,
38944,,,,,,9390.0,,,,,,,
40131,,,,,,290.0,,,,,,,
40282,,,,,,5085.0,,,,,,,
41381,,,,,,232.0,,,,,,,
42419,,,,,,232.0,,,,,,,
43693,,,,,,10500.0,,,,,,,
45004,,,,,,11062.0,,,,,,,
45038,,,,,,9390.0,,,,,,,
45192,,,,,,11062.0,,,,,,,
46933,,,,,,17701.0,,,,,,,
49738,,,,,,67745.0,,,,,,,
50992,,,,,,10500.0,,,,,,,
51763,,,,,,232.0,,,,,,,
52793,,,,,,232.0,,,,,,,
53496,,,,,,20372.0,,,,,,,
53668,,,,,,14690.0,,,,,,,
54403,,,,,,232.0,,,,,,,
54906,,,,,,232.0,,,,,,,
55252,,,,,,290.0,,,,,,,
55418,,,,,,232.0,,,,,,,
56068,,,,,,11062.0,,,,,,,
57123,,,,,,232.0,,,,,,,
57182,,,,,,232.0,,,,,,,
57597,,,,,,75740.0,,,,,,,
59711,,,,,,290.0,,,,,,,
59874,,,,,,17701.0,,,,,,,
61973,,,,,,232.0,,,,,,,
63441,,,,,,7431.0,,,,,,,
64453,,,,,,232.0,,,,,,,
69457,,,,,,232.0,,,,,,,
69597,,,,,,232.0,,,,,,,
72614,,,,,,232.0,,,,,,,
74123,,,,,,232.0,,,,,,,
74634,,,,,,290.0,,,,,,,
76966,,,,,,232.0,,,,,,,
77909,,,,,,232.0,,,,,,,
3799,,,,,,,1083.0,,,,,,
10615,,,,,,,1083.0,,,,,,
12862,,,,,,,1083.0,,,,,,
18376,,,,,,,1083.0,,,,,,
20421,,,,,,,1083.0,,,,,,
29417,,,,,,,1083.0,,,,,,
30504,,,,,,,1083.0,,,,,,
34405,,,,,,,1083.0,,,,,,
34869,,,,,,,1083.0,,,,,,
47053,,,,,,,1083.0,,,,,,
51842,,,,,,,1083.0,,,,,,
59531,,,,,,,1083.0,,,,,,
62344,,,,,,,1083.0,,,,,,
64759,,,,,,,1083.0,,,,,,
67981,,,,,,,1083.0,,,,,,
74101,,,,,,,1083.0,,,,,,
74789,,,,,,,1083.0,,,,,,
75295,,,,,,,1083.0,,,,,,
76903,,,,,,,1083.0,,,,,,
13592,,,,,,,,16803.0,,,,,
16891,,,,,,,,17370.0,,,,,
19336,,,,,,,,11317.0,,,,,
19455,,,,,,,,46547.0,,,,,
19536,,,,,,,,1042.0,,,,,
20480,,,,,,,,1042.0,,,,,
20525,,,,,,,,1042.0,,,,,
20537,,,,,,,,462.0,,,,,
26303,,,,,,,,33883.0,,,,,
26450,,,,,,,,16803.0,,,,,
27883,,,,,,,,11317.0,,,,,
29551,,,,,,,,462.0,,,,,
33454,,,,,,,,462.0,,,,,
43947,,,,,,,,11317.0,,,,,
44109,,,,,,,,1042.0,,,,,
45386,,,,,,,,283.0,,,,,
46247,,,,,,,,462.0,,,,,
49853,,,,,,,,17141.0,,,,,
51386,,,,,,,,462.0,,,,,
53056,,,,,,,,462.0,,,,,
53613,,,,,,,,283.0,,,,,
55317,,,,,,,,1042.0,,,,,
55882,,,,,,,,7995.0,,,,,
56654,,,,,,,,2349.0,,,,,
59387,,,,,,,,462.0,,,,,
61467,,,,,,,,1042.0,,,,,
64399,,,,,,,,63631.0,,,,,
65703,,,,,,,,462.0,,,,,
66073,,,,,,,,7995.0,,,,,
67469,,,,,,,,462.0,,,,,
71976,,,,,,,,462.0,,,,,
73238,,,,,,,,41262.0,,,,,
166,,,,,,,,,38894.0,,,,
770,,,,,,,,,1607.0,,,,
856,,,,,,,,,322.0,,,,
859,,,,,,,,,322.0,,,,
863,,,,,,,,,68.0,,,,
1281,,,,,,,,,5643.0,,,,
2187,,,,,,,,,68.0,,,,
2660,,,,,,,,,68.0,,,,
2738,,,,,,,,,68.0,,,,
3328,,,,,,,,,41650.0,,,,
3411,,,,,,,,,68.0,,,,
3961,,,,,,,,,16751.0,,,,
4365,,,,,,,,,68.0,,,,
4741,,,,,,,,,798.0,,,,
4762,,,,,,,,,995.0,,,,
6786,,,,,,,,,44730.0,,,,
7019,,,,,,,,,2795.0,,,,
7115,,,,,,,,,29849.0,,,,
7258,,,,,,,,,2795.0,,,,
7700,,,,,,,,,995.0,,,,
8533,,,,,,,,,322.0,,,,
8751,,,,,,,,,1330.0,,,,
8873,,,,,,,,,52943.0,,,,
9203,,,,,,,,,22468.0,,,,
9288,,,,,,,,,22468.0,,,,
9444,,,,,,,,,68.0,,,,
9681,,,,,,,,,68.0,,,,
9905,,,,,,,,,24913.0,,,,
10037,,,,,,,,,68.0,,,,
10917,,,,,,,,,68.0,,,,
11003,,,,,,,,,68.0,,,,
11416,,,,,,,,,68.0,,,,
12143,,,,,,,,,21.0,,,,
12176,,,,,,,,,68.0,,,,
12455,,,,,,,,,54384.0,,,,
12673,,,,,,,,,2795.0,,,,
13005,,,,,,,,,40713.0,,,,
13137,,,,,,,,,68.0,,,,
13473,,,,,,,,,995.0,,,,
13585,,,,,,,,,68.0,,,,
14034,,,,,,,,,68.0,,,,
14337,,,,,,,,,6806.0,,,,
14436,,,,,,,,,322.0,,,,
14798,,,,,,,,,1607.0,,,,
15217,,,,,,,,,68.0,,,,
15287,,,,,,,,,35824.0,,,,
15686,,,,,,,,,68.0,,,,
16264,,,,,,,,,7151.0,,,,
16449,,,,,,,,,18261.0,,,,
16899,,,,,,,,,0.0,,,,
17253,,,,,,,,,68.0,,,,
17512,,,,,,,,,68.0,,,,
17686,,,,,,,,,68.0,,,,
17889,,,,,,,,,2055.0,,,,
18015,,,,,,,,,1251.0,,,,
18042,,,,,,,,,68.0,,,,
18044,,,,,,,,,68.0,,,,
18401,,,,,,,,,798.0,,,,
18527,,,,,,,,,13959.0,,,,
18578,,,,,,,,,68.0,,,,
18902,,,,,,,,,995.0,,,,
19103,,,,,,,,,322.0,,,,
19833,,,,,,,,,944.0,,,,
20213,,,,,,,,,68.0,,,,
20869,,,,,,,,,0.0,,,,
20895,,,,,,,,,9692.0,,,,
21007,,,,,,,,,57954.0,,,,
21170,,,,,,,,,0.0,,,,
21453,,,,,,,,,68.0,,,,
22286,,,,,,,,,63840.0,,,,
23286,,,,,,,,,6806.0,,,,
23502,,,,,,,,,68.0,,,,
24132,,,,,,,,,2795.0,,,,
24374,,,,,,,,,5640.0,,,,
25396,,,,,,,,,68.0,,,,
25640,,,,,,,,,68.0,,,,
25811,,,,,,,,,68.0,,,,
26733,,,,,,,,,322.0,,,,
26874,,,,,,,,,322.0,,,,
26922,,,,,,,,,68.0,,,,
27276,,,,,,,,,68.0,,,,
27326,,,,,,,,,21.0,,,,
27430,,,,,,,,,27940.0,,,,
27718,,,,,,,,,27025.0,,,,
28038,,,,,,,,,68.0,,,,
28439,,,,,,,,,1330.0,,,,
28718,,,,,,,,,322.0,,,,
29060,,,,,,,,,322.0,,,,
29983,,,,,,,,,1607.0,,,,
30314,,,,,,,,,68.0,,,,
30795,,,,,,,,,68.0,,,,
31162,,,,,,,,,0.0,,,,
31375,,,,,,,,,4991.0,,,,
31574,,,,,,,,,322.0,,,,
31771,,,,,,,,,322.0,,,,
32551,,,,,,,,,68.0,,,,
32831,,,,,,,,,68.0,,,,
32851,,,,,,,,,322.0,,,,
33272,,,,,,,,,322.0,,,,
33744,,,,,,,,,2272.0,,,,
34195,,,,,,,,,68.0,,,,
34382,,,,,,,,,322.0,,,,
34434,,,,,,,,,0.0,,,,
36227,,,,,,,,,68.0,,,,
36300,,,,,,,,,40713.0,,,,
36552,,,,,,,,,68.0,,,,
37196,,,,,,,,,13959.0,,,,
37655,,,,,,,,,68.0,,,,
37850,,,,,,,,,1330.0,,,,
38184,,,,,,,,,68.0,,,,
38310,,,,,,,,,68.0,,,,
38313,,,,,,,,,68.0,,,,
38740,,,,,,,,,6594.0,,,,
38934,,,,,,,,,2055.0,,,,
39052,,,,,,,,,0.0,,,,
39301,,,,,,,,,322.0,,,,
39385,,,,,,,,,954.0,,,,
40181,,,,,,,,,5035.0,,,,
40605,,,,,,,,,68.0,,,,
40805,,,,,,,,,68.0,,,,
41144,,,,,,,,,1607.0,,,,
42092,,,,,,,,,2055.0,,,,
42973,,,,,,,,,7151.0,,,,
42982,,,,,,,,,68.0,,,,
43418,,,,,,,,,322.0,,,,
43626,,,,,,,,,68.0,,,,
43633,,,,,,,,,798.0,,,,
43922,,,,,,,,,322.0,,,,
43973,,,,,,,,,68.0,,,,
44196,,,,,,,,,68.0,,,,
44533,,,,,,,,,43697.0,,,,
